participant_id,persona,method,method_order,acceptance,satisfaction_score
R0060,Cooperative regular,MPC,1,0,0
R0060,Cooperative regular,HEMA,2,0,5
R0060,Cooperative regular,EnergyBridge,3,1,1
R0061,Comfort-sensitive,MPC,1,0,1
R0061,Comfort-sensitive,HEMA,2,0,4
R0061,Comfort-sensitive,EnergyBridge,3,1,0
R0062,Caregiver,MPC,1,1,4
R0062,Caregiver,HEMA,2,0,4
R0062,Caregiver,EnergyBridge,3,1,5
R0063,Cooperative regular,MPC,1,0,1
R0063,Cooperative regular,HEMA,2,1,3
R0063,Cooperative regular,EnergyBridge,3,0,4
R0064,Price-sensitive,MPC,1,1,1
R0064,Price-sensitive,HEMA,2,0,1
R0064,Price-sensitive,EnergyBridge,3,0,5
R0065,Caregiver,MPC,1,0,4
R0065,Caregiver,HEMA,2,0,1
R0065,Caregiver,EnergyBridge,3,1,2
R0066,Price-sensitive,MPC,1,0,4
R0066,Price-sensitive,HEMA,2,1,3
R0066,Price-sensitive,EnergyBridge,3,1,5
R0067,Irregular routine,MPC,1,0,3
R0067,Irregular routine,HEMA,2,1,4
R0067,Irregular routine,EnergyBridge,3,1,0
R0068,EV commuter,MPC,1,1,3
R0068,EV commuter,HEMA,2,1,3
R0068,EV commuter,EnergyBridge,3,1,2
R0069,Cooperative regular,MPC,1,0,0
R0069,Cooperative regular,HEMA,2,1,0
R0069,Cooperative regular,EnergyBridge,3,1,4
R0070,EV commuter,MPC,1,0,1
R0070,EV commuter,HEMA,2,0,3
R0070,EV commuter,EnergyBridge,3,1,1
R0071,Comfort-sensitive,MPC,1,0,4
R0071,Comfort-sensitive,HEMA,2,0,3
R0071,Comfort-sensitive,EnergyBridge,3,1,1
R0072,Irregular routine,MPC,1,0,5
R0072,Irregular routine,HEMA,2,0,3
R0072,Irregular routine,EnergyBridge,3,0,0
R0073,EV commuter,MPC,1,0,1
R0073,EV commuter,HEMA,2,0,4
R0073,EV commuter,EnergyBridge,3,0,1
R0074,EV commuter,MPC,1,0,5
R0074,EV commuter,HEMA,2,0,4
R0074,EV commuter,EnergyBridge,3,0,5
R0075,Cooperative regular,MPC,1,1,2
R0075,Cooperative regular,HEMA,2,0,1
R0075,Cooperative regular,EnergyBridge,3,1,1
R0076,EV commuter,MPC,1,0,3
R0076,EV commuter,HEMA,2,0,4
R0076,EV commuter,EnergyBridge,3,0,0
R0077,Price-sensitive,MPC,1,0,0.9
R0077,Price-sensitive,HEMA,2,1,4
R0077,Price-sensitive,EnergyBridge,3,1,1
R0078,Price-sensitive,MPC,1,1,3.1
R0078,Price-sensitive,HEMA,2,1,3.2
R0078,Price-sensitive,EnergyBridge,3,1,3
R0079,Caregiver,MPC,1,0,5
R0079,Caregiver,HEMA,2,1,4
R0079,Caregiver,EnergyBridge,3,1,2
R0080,Cooperative regular,MPC,1,0,5
R0080,Cooperative regular,HEMA,2,0,5
R0080,Cooperative regular,EnergyBridge,3,1,3
R0081,Irregular routine,MPC,1,1,4
R0081,Irregular routine,HEMA,2,0,0
R0081,Irregular routine,EnergyBridge,3,0,5
R0082,Caregiver,MPC,1,1,5
R0082,Caregiver,HEMA,2,1,5
R0082,Caregiver,EnergyBridge,3,1,3
R0083,EV commuter,MPC,1,0,1
R0083,EV commuter,HEMA,2,0,4
R0083,EV commuter,EnergyBridge,3,1,1
R0084,Cooperative regular,MPC,1,0,3
R0084,Cooperative regular,HEMA,2,0,3
R0084,Cooperative regular,EnergyBridge,3,1,2
R0085,Price-sensitive,MPC,1,0,0
R0085,Price-sensitive,HEMA,2,0,1
R0085,Price-sensitive,EnergyBridge,3,1,4
R0086,EV commuter,MPC,1,1,3.3
R0086,EV commuter,HEMA,2,1,2.5
R0086,EV commuter,EnergyBridge,3,1,3
R0087,Cooperative regular,MPC,1,1,4
R0087,Cooperative regular,HEMA,2,1,3
R0087,Cooperative regular,EnergyBridge,3,1,4
R0088,Caregiver,MPC,1,0,3
R0088,Caregiver,HEMA,2,1,5
R0088,Caregiver,EnergyBridge,3,1,5
R0089,Cooperative regular,MPC,1,0,3
R0089,Cooperative regular,HEMA,2,1,1
R0089,Cooperative regular,EnergyBridge,3,0,4
R0090,Price-sensitive,MPC,1,1,5
R0090,Price-sensitive,HEMA,2,1,5
R0090,Price-sensitive,EnergyBridge,3,0,3
R0091,Price-sensitive,MPC,1,0,3
R0091,Price-sensitive,HEMA,2,1,3
R0091,Price-sensitive,EnergyBridge,3,1,2
R0092,EV commuter,MPC,1,0,0
R0092,EV commuter,HEMA,2,0,1
R0092,EV commuter,EnergyBridge,3,1,5
R0093,Caregiver,MPC,1,0,3
R0093,Caregiver,HEMA,2,0,0
R0093,Caregiver,EnergyBridge,3,1,4
R0094,Irregular routine,MPC,1,1,4
R0094,Irregular routine,HEMA,2,0,1
R0094,Irregular routine,EnergyBridge,3,1,5
R0095,Irregular routine,MPC,1,1,4
R0095,Irregular routine,HEMA,2,1,2
R0095,Irregular routine,EnergyBridge,3,0,3
R0096,EV commuter,MPC,1,0,0
R0096,EV commuter,HEMA,2,1,4
R0096,EV commuter,EnergyBridge,3,1,2
R0097,Irregular routine,MPC,1,0,5
R0097,Irregular routine,HEMA,2,1,1
R0097,Irregular routine,EnergyBridge,3,0,3
R0098,Comfort-sensitive,MPC,1,1,2.7
R0098,Comfort-sensitive,HEMA,2,1,2.9
R0098,Comfort-sensitive,EnergyBridge,3,1,3.2
R0099,Comfort-sensitive,MPC,1,1,2
R0099,Comfort-sensitive,HEMA,2,1,4
R0099,Comfort-sensitive,EnergyBridge,3,1,5
R0100,Irregular routine,MPC,1,0,5
R0100,Irregular routine,HEMA,2,1,3
R0100,Irregular routine,EnergyBridge,3,0,2
R0101,EV commuter,MPC,1,0,4
R0101,EV commuter,HEMA,2,1,2
R0101,EV commuter,EnergyBridge,3,0,3
R0102,Comfort-sensitive,MPC,1,0,4.9
R0102,Comfort-sensitive,HEMA,2,1,4.9
R0102,Comfort-sensitive,EnergyBridge,3,1,4.6
R0103,Comfort-sensitive,MPC,1,0,1
R0103,Comfort-sensitive,HEMA,2,1,0
R0103,Comfort-sensitive,EnergyBridge,3,1,3
R0104,Comfort-sensitive,MPC,1,1,2
R0104,Comfort-sensitive,HEMA,2,1,2
R0104,Comfort-sensitive,EnergyBridge,3,1,5
R0105,Cooperative regular,MPC,1,1,0
R0105,Cooperative regular,HEMA,2,1,0
R0105,Cooperative regular,EnergyBridge,3,1,4
R0106,Caregiver,MPC,1,0,4
R0106,Caregiver,HEMA,2,1,3
R0106,Caregiver,EnergyBridge,3,0,1
R0107,Cooperative regular,MPC,1,0,2
R0107,Cooperative regular,HEMA,2,0,4
R0107,Cooperative regular,EnergyBridge,3,1,4
R0108,Comfort-sensitive,MPC,1,0,5
R0108,Comfort-sensitive,HEMA,2,0,5
R0108,Comfort-sensitive,EnergyBridge,3,0,5
R0109,EV commuter,MPC,1,0,0
R0109,EV commuter,HEMA,2,0,1
R0109,EV commuter,EnergyBridge,3,0,0
R0110,Irregular routine,MPC,1,0,3
R0110,Irregular routine,HEMA,2,1,3
R0110,Irregular routine,EnergyBridge,3,1,5
R0111,Irregular routine,MPC,1,0,3
R0111,Irregular routine,HEMA,2,0,2
R0111,Irregular routine,EnergyBridge,3,1,5
R0112,Cooperative regular,MPC,1,0,3
R0112,Cooperative regular,HEMA,2,1,4
R0112,Cooperative regular,EnergyBridge,3,1,2
R0113,Irregular routine,MPC,1,0,0
R0113,Irregular routine,HEMA,2,0,2
R0113,Irregular routine,EnergyBridge,3,0,5
R0114,Irregular routine,MPC,1,0,3
R0114,Irregular routine,HEMA,2,0,3
R0114,Irregular routine,EnergyBridge,3,1,3
R0115,EV commuter,MPC,1,0,5
R0115,EV commuter,HEMA,2,0,4
R0115,EV commuter,EnergyBridge,3,1,0
R0116,Cooperative regular,MPC,1,1,2.9
R0116,Cooperative regular,HEMA,2,1,2.8
R0116,Cooperative regular,EnergyBridge,3,1,2.7
R0117,Comfort-sensitive,MPC,1,0,3
R0117,Comfort-sensitive,HEMA,2,1,2
R0117,Comfort-sensitive,EnergyBridge,3,1,3
R0118,Price-sensitive,MPC,1,0,0
R0118,Price-sensitive,HEMA,2,0,2
R0118,Price-sensitive,EnergyBridge,3,1,1
R0119,Price-sensitive,MPC,1,0,3
R0119,Price-sensitive,HEMA,2,1,4
R0119,Price-sensitive,EnergyBridge,3,1,4
R0120,Irregular routine,MPC,1,0,4
R0120,Irregular routine,HEMA,2,0,4
R0120,Irregular routine,EnergyBridge,3,1,2
R0121,Comfort-sensitive,MPC,1,0,4.8
R0121,Comfort-sensitive,HEMA,2,0,4.8
R0121,Comfort-sensitive,EnergyBridge,3,1,4.4
R0122,Comfort-sensitive,MPC,1,0,4
R0122,Comfort-sensitive,HEMA,2,1,2.9
R0122,Comfort-sensitive,EnergyBridge,3,1,1
R0123,Cooperative regular,MPC,1,1,5
R0123,Cooperative regular,HEMA,2,0,0
R0123,Cooperative regular,EnergyBridge,3,0,5
R0124,EV commuter,MPC,1,0,1
R0124,EV commuter,HEMA,2,1,5
R0124,EV commuter,EnergyBridge,3,0,1
R0125,Irregular routine,MPC,1,0,0
R0125,Irregular routine,HEMA,2,1,1
R0125,Irregular routine,EnergyBridge,3,0,0
R0126,EV commuter,MPC,1,0,2
R0126,EV commuter,HEMA,2,0,3
R0126,EV commuter,EnergyBridge,3,1,5
R0127,Irregular routine,MPC,1,0,0
R0127,Irregular routine,HEMA,2,0,4
R0127,Irregular routine,EnergyBridge,3,1,2
R0128,Price-sensitive,MPC,1,0,4
R0128,Price-sensitive,HEMA,2,0,2
R0128,Price-sensitive,EnergyBridge,3,1,2
R0129,Cooperative regular,MPC,1,0,3
R0129,Cooperative regular,HEMA,2,1,3
R0129,Cooperative regular,EnergyBridge,3,0,2
R0130,EV commuter,MPC,1,1,2
R0130,EV commuter,HEMA,2,1,1
R0130,EV commuter,EnergyBridge,3,1,4
R0131,Cooperative regular,MPC,1,1,5
R0131,Cooperative regular,HEMA,2,0,5
R0131,Cooperative regular,EnergyBridge,3,1,0
R0132,EV commuter,MPC,1,1,5
R0132,EV commuter,HEMA,2,1,5
R0132,EV commuter,EnergyBridge,3,1,3
R0133,Price-sensitive,MPC,1,1,2
R0133,Price-sensitive,HEMA,2,1,3.1
R0133,Price-sensitive,EnergyBridge,3,0,3.1
R0134,Price-sensitive,MPC,1,1,3
R0134,Price-sensitive,HEMA,2,1,3.9
R0134,Price-sensitive,EnergyBridge,3,1,3.6
R0135,Caregiver,MPC,1,0,4
R0135,Caregiver,HEMA,2,1,5
R0135,Caregiver,EnergyBridge,3,0,5
R0136,Cooperative regular,MPC,1,0,5
R0136,Cooperative regular,HEMA,2,0,5
R0136,Cooperative regular,EnergyBridge,3,1,2
R0137,Caregiver,MPC,1,1,4
R0137,Caregiver,HEMA,2,0,2
R0137,Caregiver,EnergyBridge,3,0,5
R0138,Comfort-sensitive,MPC,1,0,1
R0138,Comfort-sensitive,HEMA,2,0,0
R0138,Comfort-sensitive,EnergyBridge,3,0,5
R0139,Comfort-sensitive,MPC,1,0,4
R0139,Comfort-sensitive,HEMA,2,1,0
R0139,Comfort-sensitive,EnergyBridge,3,1,5
R0140,Cooperative regular,MPC,1,0,4
R0140,Cooperative regular,HEMA,2,1,5
R0140,Cooperative regular,EnergyBridge,3,1,5
R0141,Cooperative regular,MPC,1,0,3
R0141,Cooperative regular,HEMA,2,0,0
R0141,Cooperative regular,EnergyBridge,3,0,3
R0142,Caregiver,MPC,1,0,3
R0142,Caregiver,HEMA,2,1,4
R0142,Caregiver,EnergyBridge,3,0,1
R0143,Cooperative regular,MPC,1,0,4
R0143,Cooperative regular,HEMA,2,0,4
R0143,Cooperative regular,EnergyBridge,3,1,5
R0144,Comfort-sensitive,MPC,1,1,5
R0144,Comfort-sensitive,HEMA,2,0,2.8
R0144,Comfort-sensitive,EnergyBridge,3,1,4.1
R0145,Caregiver,MPC,1,1,0
R0145,Caregiver,HEMA,2,0,2
R0145,Caregiver,EnergyBridge,3,1,5
R0146,Comfort-sensitive,MPC,1,1,4
R0146,Comfort-sensitive,HEMA,2,0,3
R0146,Comfort-sensitive,EnergyBridge,3,0,3
R0147,Comfort-sensitive,MPC,1,1,3
R0147,Comfort-sensitive,HEMA,2,1,3
R0147,Comfort-sensitive,EnergyBridge,3,0,2
R0148,Price-sensitive,MPC,1,0,4
R0148,Price-sensitive,HEMA,2,1,3
R0148,Price-sensitive,EnergyBridge,3,1,3
R0149,Comfort-sensitive,MPC,1,0,2
R0149,Comfort-sensitive,HEMA,2,1,0
R0149,Comfort-sensitive,EnergyBridge,3,1,5
R0150,Irregular routine,MPC,1,0,5
R0150,Irregular routine,HEMA,2,0,0
R0150,Irregular routine,EnergyBridge,3,1,4
R0151,Caregiver,MPC,1,0,1
R0151,Caregiver,HEMA,2,0,5
R0151,Caregiver,EnergyBridge,3,1,1
R0152,Irregular routine,MPC,1,0,3
R0152,Irregular routine,HEMA,2,1,2
R0152,Irregular routine,EnergyBridge,3,0,0
R0153,Irregular routine,MPC,1,0,4
R0153,Irregular routine,HEMA,2,1,5
R0153,Irregular routine,EnergyBridge,3,1,0
R0154,Cooperative regular,MPC,1,1,5
R0154,Cooperative regular,HEMA,2,0,4
R0154,Cooperative regular,EnergyBridge,3,1,1
R0155,Comfort-sensitive,MPC,1,0,0
R0155,Comfort-sensitive,HEMA,2,0,0
R0155,Comfort-sensitive,EnergyBridge,3,0,0
R0156,Comfort-sensitive,MPC,1,0,3
R0156,Comfort-sensitive,HEMA,2,1,2.5
R0156,Comfort-sensitive,EnergyBridge,3,0,1.4
R0157,EV commuter,MPC,1,1,2
R0157,EV commuter,HEMA,2,1,4
R0157,EV commuter,EnergyBridge,3,0,3
R0158,Comfort-sensitive,MPC,1,0,3.9
R0158,Comfort-sensitive,HEMA,2,1,4
R0158,Comfort-sensitive,EnergyBridge,3,1,3.1
R0159,Caregiver,MPC,1,0,0
R0159,Caregiver,HEMA,2,0,3
R0159,Caregiver,EnergyBridge,3,1,2
R0160,Caregiver,MPC,1,0,3
R0160,Caregiver,HEMA,2,1,1
R0160,Caregiver,EnergyBridge,3,1,0
R0161,Price-sensitive,MPC,1,0,4
R0161,Price-sensitive,HEMA,2,1,2
R0161,Price-sensitive,EnergyBridge,3,1,4
R0162,Irregular routine,MPC,1,0,5
R0162,Irregular routine,HEMA,2,1,3
R0162,Irregular routine,EnergyBridge,3,0,4
R0163,Comfort-sensitive,MPC,1,1,3
R0163,Comfort-sensitive,HEMA,2,0,4
R0163,Comfort-sensitive,EnergyBridge,3,1,4
R0164,Cooperative regular,MPC,1,0,4
R0164,Cooperative regular,HEMA,2,1,3
R0164,Cooperative regular,EnergyBridge,3,1,0
R0165,EV commuter,MPC,1,1,1
R0165,EV commuter,HEMA,2,0,3
R0165,EV commuter,EnergyBridge,3,1,2
R0166,Comfort-sensitive,MPC,1,0,4.6
R0166,Comfort-sensitive,HEMA,2,0,4.6
R0166,Comfort-sensitive,EnergyBridge,3,0,4.5
R0167,Cooperative regular,MPC,1,1,5
R0167,Cooperative regular,HEMA,2,1,5
R0167,Cooperative regular,EnergyBridge,3,1,5
R0168,Price-sensitive,MPC,1,1,4
R0168,Price-sensitive,HEMA,2,1,3
R0168,Price-sensitive,EnergyBridge,3,1,4
R0169,Comfort-sensitive,MPC,1,0,4.1
R0169,Comfort-sensitive,HEMA,2,1,3.9
R0169,Comfort-sensitive,EnergyBridge,3,1,4.9
R0170,EV commuter,MPC,1,1,2
R0170,EV commuter,HEMA,2,0,5
R0170,EV commuter,EnergyBridge,3,1,3
R0171,Cooperative regular,MPC,1,1,0
R0171,Cooperative regular,HEMA,2,1,2
R0171,Cooperative regular,EnergyBridge,3,0,0
R0172,Cooperative regular,MPC,1,0,3
R0172,Cooperative regular,HEMA,2,1,3
R0172,Cooperative regular,EnergyBridge,3,1,4
R0173,EV commuter,MPC,1,0,1
R0173,EV commuter,HEMA,2,1,4
R0173,EV commuter,EnergyBridge,3,1,4
R0174,Irregular routine,MPC,1,0,4
R0174,Irregular routine,HEMA,2,0,0
R0174,Irregular routine,EnergyBridge,3,0,5
R0175,Cooperative regular,MPC,1,0,5
R0175,Cooperative regular,HEMA,2,0,1
R0175,Cooperative regular,EnergyBridge,3,1,5
R0176,EV commuter,MPC,1,0,1
R0176,EV commuter,HEMA,2,0,3
R0176,EV commuter,EnergyBridge,3,1,5
R0177,Price-sensitive,MPC,1,1,3
R0177,Price-sensitive,HEMA,2,1,1
R0177,Price-sensitive,EnergyBridge,3,1,3
R0178,Caregiver,MPC,1,1,2
R0178,Caregiver,HEMA,2,1,2
R0178,Caregiver,EnergyBridge,3,1,1
R0179,EV commuter,MPC,1,0,4
R0179,EV commuter,HEMA,2,0,1
R0179,EV commuter,EnergyBridge,3,1,1
R0180,Irregular routine,MPC,1,0,4
R0180,Irregular routine,HEMA,2,0,3
R0180,Irregular routine,EnergyBridge,3,1,2
R0181,Caregiver,MPC,1,0,4
R0181,Caregiver,HEMA,2,1,0
R0181,Caregiver,EnergyBridge,3,1,2
R0182,Comfort-sensitive,MPC,1,0,5
R0182,Comfort-sensitive,HEMA,2,1,2
R0182,Comfort-sensitive,EnergyBridge,3,1,2
R0183,Price-sensitive,MPC,1,0,3
R0183,Price-sensitive,HEMA,2,0,4
R0183,Price-sensitive,EnergyBridge,3,0,0
R0184,EV commuter,MPC,1,1,4
R0184,EV commuter,HEMA,2,1,1
R0184,EV commuter,EnergyBridge,3,1,3
R0185,EV commuter,MPC,1,1,4
R0185,EV commuter,HEMA,2,1,4
R0185,EV commuter,EnergyBridge,3,0,2
R0186,Caregiver,MPC,1,1,1
R0186,Caregiver,HEMA,2,0,0
R0186,Caregiver,EnergyBridge,3,0,4
R0187,Irregular routine,MPC,1,1,2
R0187,Irregular routine,HEMA,2,0,3
R0187,Irregular routine,EnergyBridge,3,1,5
R0188,Irregular routine,MPC,1,0,5
R0188,Irregular routine,HEMA,2,0,1
R0188,Irregular routine,EnergyBridge,3,1,0
R0189,Price-sensitive,MPC,1,0,4
R0189,Price-sensitive,HEMA,2,1,5
R0189,Price-sensitive,EnergyBridge,3,1,1
R0190,Irregular routine,MPC,1,0,3
R0190,Irregular routine,HEMA,2,1,2
R0190,Irregular routine,EnergyBridge,3,1,5
R0191,Comfort-sensitive,MPC,1,0,5
R0191,Comfort-sensitive,HEMA,2,1,3
R0191,Comfort-sensitive,EnergyBridge,3,1,1
R0192,EV commuter,MPC,1,0,2
R0192,EV commuter,HEMA,2,0,2
R0192,EV commuter,EnergyBridge,3,1,2
R0193,Comfort-sensitive,MPC,1,0,3
R0193,Comfort-sensitive,HEMA,2,0,1
R0193,Comfort-sensitive,EnergyBridge,3,0,5
R0194,EV commuter,MPC,1,0,3
R0194,EV commuter,HEMA,2,1,1
R0194,EV commuter,EnergyBridge,3,1,3
R0195,Cooperative regular,MPC,1,0,0
R0195,Cooperative regular,HEMA,2,0,5
R0195,Cooperative regular,EnergyBridge,3,1,1
R0196,Comfort-sensitive,MPC,1,0,4
R0196,Comfort-sensitive,HEMA,2,1,2
R0196,Comfort-sensitive,EnergyBridge,3,1,4
R0197,Price-sensitive,MPC,1,0,2.4
R0197,Price-sensitive,HEMA,2,1,2.8
R0197,Price-sensitive,EnergyBridge,3,0,1.6
R0198,EV commuter,MPC,1,0,2
R0198,EV commuter,HEMA,2,0,5
R0198,EV commuter,EnergyBridge,3,1,3
R0199,Cooperative regular,MPC,1,1,5
